,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Carndonagh,44,IE,1567574910,77,55.25,-7.27,56.46,38.61
1,Ushuaia,40,AR,1567574596,64,-54.81,-68.31,37.4,25.28
2,Albany,90,US,1567574514,68,42.65,-73.75,69.8,9.17
3,Rikitea,100,PF,1567574913,84,-23.12,-134.97,72.66,14.25
4,Kapaa,40,US,1567574603,69,22.08,-159.32,82.4,11.41
5,Victoria,75,BN,1567574652,74,5.28,115.24,89.6,5.82
6,Santa Marta,40,CO,1567574917,79,11.24,-74.21,86.0,26.93
7,Cidreira,86,BR,1567574750,64,-30.17,-50.22,48.72,5.68
8,Busselton,96,AU,1567574602,40,-33.64,115.35,60.01,21.85
9,Jamestown,19,AU,1567574701,45,-33.21,138.6,70.5,4.65
10,Hobyo,53,SO,1567574921,50,5.35,48.53,87.6,25.57
11,Bambanglipuro,8,ID,1567574923,81,-7.95,110.28,74.1,15.79
12,Faanui,10,PF,1567574696,84,-16.48,-151.75,78.06,21.9
13,Lorengau,100,PG,1567574925,81,-2.02,147.27,80.76,13.13
14,Half Moon Bay,90,US,1567574705,87,37.46,-122.43,64.99,5.82
15,Bereda,0,ES,1567574847,87,43.27,-7.54,63.0,4.09
16,Dargaville,75,NZ,1567574929,87,-35.94,173.86,60.42,13.87
17,Beringovskiy,100,RU,1567574767,91,63.05,179.32,41.34,5.37
18,Vaini,75,IN,1567574633,94,15.34,74.49,75.2,9.17
19,Vostok,0,RU,1567574932,48,46.45,135.83,74.46,4.83
20,Aksarka,100,RU,1567574933,87,66.56,67.8,50.88,1.97
21,Isangel,20,VU,1567574884,57,-19.55,169.27,77.0,5.82
22,Cape Town,75,ZA,1567574403,93,-33.93,18.42,59.0,14.99
23,Hermanus,100,ZA,1567574598,98,-34.42,19.24,55.0,1.01
24,Severo-Kurilsk,100,RU,1567574674,96,50.68,156.12,49.62,14.72
25,Port Alfred,97,ZA,1567574706,77,-33.59,26.89,61.0,5.01
26,Egvekinot,100,RU,1567574940,92,66.32,-179.17,35.4,14.74
